,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,0.0006183,0.0006183,4.005e-05,0.0006183,0.0006183,0.0006183
accuracy,0.0006183,,4.005e-05,4.005e-05,4.005e-05,0.0006183,4.005e-05
regression,0.0006183,4.005e-05,,4.005e-05,4.005e-05,4.005e-05,4.005e-05
shapley,4.005e-05,4.005e-05,4.005e-05,,4.005e-05,4.005e-05,0.0006183
loo,0.0006183,4.005e-05,4.005e-05,4.005e-05,,4.005e-05,4.005e-05
crh,0.0006183,0.0006183,4.005e-05,4.005e-05,4.005e-05,,4.005e-05
entropy,0.0006183,4.005e-05,4.005e-05,0.0006183,4.005e-05,4.005e-05,
