,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,0.001754,4.005e-05,0.001754,0.001754,0.001754,0.001754
accuracy,0.001754,,0.001754,0.001754,0.001754,0.001754,0.001754
regression,4.005e-05,0.001754,,0.002945,0.002506,0.001754,0.001923
shapley,0.001754,0.001754,0.002945,,0.2767,0.001754,0.001754
loo,0.001754,0.001754,0.002506,0.2767,,0.001754,0.001754
crh,0.001754,0.001754,0.001754,0.001754,0.001754,,0.001754
entropy,0.001754,0.001754,0.001923,0.001754,0.001754,0.001754,
