,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,4.005e-05,4.005e-05,4.005e-05,0.0006183,0.0006183,4.005e-05
accuracy,4.005e-05,,0.0006183,4.005e-05,4.005e-05,0.0006183,4.005e-05
regression,4.005e-05,0.0006183,,4.005e-05,4.005e-05,4.005e-05,4.005e-05
shapley,4.005e-05,4.005e-05,4.005e-05,,0.3589,0.0006183,4.005e-05
loo,0.0006183,4.005e-05,4.005e-05,0.3589,,4.005e-05,0.0006183
crh,0.0006183,0.0006183,4.005e-05,0.0006183,4.005e-05,,4.005e-05
entropy,4.005e-05,4.005e-05,4.005e-05,4.005e-05,0.0006183,4.005e-05,
