,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,3.419e-10,3.419e-10,3.419e-10,9.127e-10,3.419e-10,3.419e-10
accuracy,3.419e-10,,3.419e-10,3.419e-10,0.05045,3.419e-10,3.419e-10
regression,3.419e-10,3.419e-10,,3.419e-10,0.004645,3.419e-10,0.002989
shapley,3.419e-10,3.419e-10,3.419e-10,,1.262e-06,3.419e-10,3.419e-10
loo,9.127e-10,0.05045,0.004645,1.262e-06,,2.78e-06,0.4309
crh,3.419e-10,3.419e-10,3.419e-10,3.419e-10,2.78e-06,,3.419e-10
entropy,3.419e-10,3.419e-10,0.002989,3.419e-10,0.4309,3.419e-10,
