,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,4.005e-05,4.005e-05,0.001237,4.005e-05,0.001237,4.005e-05
accuracy,4.005e-05,,0.001237,4.005e-05,0.03334,4.005e-05,0.001237
regression,4.005e-05,0.001237,,0.6148,0.001352,4.005e-05,0.001237
shapley,0.001237,4.005e-05,0.6148,,0.001237,0.001237,0.001237
loo,4.005e-05,0.03334,0.001352,0.001237,,0.001237,0.3787
crh,0.001237,4.005e-05,4.005e-05,0.001237,0.001237,,0.001237
entropy,4.005e-05,0.001237,0.001237,0.001237,0.3787,0.001237,
