,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,0.001308,4.005e-05,4.005e-05,4.005e-05,0.001308,0.001308
accuracy,0.001308,,0.001308,0.001308,0.001308,0.001308,0.001308
regression,4.005e-05,0.001308,,0.001308,0.001308,4.005e-05,0.001308
shapley,4.005e-05,0.001308,0.001308,,0.001308,0.001308,0.001308
loo,4.005e-05,0.001308,0.001308,0.001308,,4.005e-05,0.2395
crh,0.001308,0.001308,4.005e-05,0.001308,4.005e-05,,4.005e-05
entropy,0.001308,0.001308,0.001308,0.001308,0.2395,4.005e-05,
