,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,4.005e-05,4.005e-05,4.005e-05,4.005e-05,4.005e-05,0.0006191
accuracy,4.005e-05,,0.0006191,4.005e-05,0.0006191,4.005e-05,4.005e-05
regression,4.005e-05,0.0006191,,0.0006191,4.005e-05,0.002493,4.005e-05
shapley,4.005e-05,4.005e-05,0.0006191,,4.005e-05,0.0006191,4.005e-05
loo,4.005e-05,0.0006191,4.005e-05,4.005e-05,,0.0006191,4.005e-05
crh,4.005e-05,4.005e-05,0.002493,0.0006191,0.0006191,,4.005e-05
entropy,0.0006191,4.005e-05,4.005e-05,4.005e-05,4.005e-05,4.005e-05,
