,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,3.418e-10,3.418e-10,3.418e-10,3.418e-10,4.622e-10,0.0003543
accuracy,3.418e-10,,3.418e-10,3.418e-10,2.766e-07,5.317e-08,3.418e-10
regression,3.418e-10,3.418e-10,,1,1,3.418e-10,3.418e-10
shapley,3.418e-10,3.418e-10,1,,1,3.418e-10,3.418e-10
loo,3.418e-10,2.766e-07,1,1,,2.288e-07,3.418e-10
crh,4.622e-10,5.317e-08,3.418e-10,3.418e-10,2.288e-07,,4.082e-09
entropy,0.0003543,3.418e-10,3.418e-10,3.418e-10,3.418e-10,4.082e-09,
