,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,1.648e-13,1,1,9.729e-11,1.648e-13,1
accuracy,1.648e-13,,1.648e-13,1,9.729e-11,1.648e-13,1.648e-13
regression,1,1.648e-13,,1.648e-13,0.0004483,1.978e-10,1
shapley,1,1,1.648e-13,,1.885e-10,1,1.648e-13
loo,9.729e-11,9.729e-11,0.0004483,1.885e-10,,9.729e-11,0.0004483
crh,1.648e-13,1.648e-13,1.978e-10,1,9.729e-11,,4.647e-10
entropy,1,1.648e-13,1,1.648e-13,0.0004483,4.647e-10,
