,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,0.001482,0.001482,0.001482,0.03181,0.001482,0.001482
accuracy,0.001482,,0.001482,0.001482,0.001482,0.001482,0.001482
regression,0.001482,0.001482,,0.001482,0.001482,0.001482,4.005e-05
shapley,0.001482,0.001482,0.001482,,4.005e-05,4.005e-05,0.001482
loo,0.03181,0.001482,0.001482,4.005e-05,,0.001482,4.005e-05
crh,0.001482,0.001482,0.001482,4.005e-05,0.001482,,0.001482
entropy,0.001482,0.001482,4.005e-05,0.001482,4.005e-05,0.001482,
