,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,0.001145,4.005e-05,4.005e-05,4.005e-05,0.001145,4.005e-05
accuracy,0.001145,,4.005e-05,0.001145,4.005e-05,0.001145,0.004404
regression,4.005e-05,4.005e-05,,0.001145,4.005e-05,0.001145,0.001145
shapley,4.005e-05,0.001145,0.001145,,0.001145,0.001145,0.001145
loo,4.005e-05,4.005e-05,4.005e-05,0.001145,,0.004404,4.005e-05
crh,0.001145,0.001145,0.001145,0.001145,0.004404,,0.001145
entropy,4.005e-05,0.004404,0.001145,0.001145,4.005e-05,0.001145,
