,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,0.0009716,0.0009716,0.0009716,4.005e-05,0.0009716,0.0009716
accuracy,0.0009716,,4.005e-05,0.0009716,0.0009716,0.0009716,0.0009716
regression,0.0009716,4.005e-05,,4.005e-05,4.005e-05,4.005e-05,4.005e-05
shapley,0.0009716,0.0009716,4.005e-05,,4.005e-05,4.005e-05,0.0009716
loo,4.005e-05,0.0009716,4.005e-05,4.005e-05,,4.005e-05,4.005e-05
crh,0.0009716,0.0009716,4.005e-05,4.005e-05,4.005e-05,,0.03653
entropy,0.0009716,0.0009716,4.005e-05,0.0009716,4.005e-05,0.03653,
