,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,6.303e-11,0.04378,2.535e-10,1,1.365e-11,4.099e-12
accuracy,6.303e-11,,1,1,1,6.728e-06,1.143e-06
regression,0.04378,1,,1,1,0.7821,0.06686
shapley,2.535e-10,1,1,,1,0.0003352,3.385e-06
loo,1,1,1,1,,1,1
crh,1.365e-11,6.728e-06,0.7821,0.0003352,1,,0.03978
entropy,4.099e-12,1.143e-06,0.06686,3.385e-06,1,0.03978,
