,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,0.001576,0.001576,4.005e-05,0.001576,0.001576,0.001576
accuracy,0.001576,,0.001576,4.005e-05,0.001576,0.001576,0.001576
regression,0.001576,0.001576,,0.01642,0.0535,0.001576,0.001576
shapley,4.005e-05,4.005e-05,0.01642,,0.4558,0.001576,0.001576
loo,0.001576,0.001576,0.0535,0.4558,,4.005e-05,0.001576
crh,0.001576,0.001576,0.001576,0.001576,4.005e-05,,0.001576
entropy,0.001576,0.001576,0.001576,0.001576,0.001576,0.001576,
