,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,3.416e-10,3.416e-10,3.416e-10,3.416e-10,3.416e-10,3.416e-10
accuracy,3.416e-10,,3.888e-08,3.416e-10,3.416e-10,3.416e-10,3.416e-10
regression,3.416e-10,3.888e-08,,0.0005627,3.416e-10,3.416e-10,3.416e-10
shapley,3.416e-10,3.416e-10,0.0005627,,3.416e-10,3.416e-10,3.416e-10
loo,3.416e-10,3.416e-10,3.416e-10,3.416e-10,,3.416e-10,3.416e-10
crh,3.416e-10,3.416e-10,3.416e-10,3.416e-10,3.416e-10,,3.416e-10
entropy,3.416e-10,3.416e-10,3.416e-10,3.416e-10,3.416e-10,3.416e-10,
