,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,4.005e-05,4.005e-05,0.0008832,4.005e-05,0.0008832,0.0008832
accuracy,4.005e-05,,0.0008832,4.005e-05,0.0005245,4.005e-05,0.0008832
regression,4.005e-05,0.0008832,,0.0008832,4.005e-05,4.005e-05,4.005e-05
shapley,0.0008832,4.005e-05,0.0008832,,0.0008832,0.0008832,4.005e-05
loo,4.005e-05,0.0005245,4.005e-05,0.0008832,,4.005e-05,0.0008832
crh,0.0008832,4.005e-05,4.005e-05,0.0008832,4.005e-05,,0.0008832
entropy,0.0008832,0.0008832,4.005e-05,4.005e-05,0.0008832,0.0008832,
