,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,0.0002397,0.5576,0.0003272,2.185e-06,1.123e-07,6.474e-08
accuracy,0.0002397,,0.1084,0.09537,4.289e-05,3.111e-06,0.09537
regression,0.5576,0.1084,,0.06041,1.83e-08,0.004575,0.005872
shapley,0.0003272,0.09537,0.06041,,0.0002397,6.323e-05,0.3179
loo,2.185e-06,4.289e-05,1.83e-08,0.0002397,,0.02775,0.001153
crh,1.123e-07,3.111e-06,0.004575,6.323e-05,0.02775,,0.5576
entropy,6.474e-08,0.09537,0.005872,0.3179,0.001153,0.5576,
