,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,0.2437,0.02394,0.008142,1,1.133e-05,1.211e-08
accuracy,0.2437,,0.001995,0.0008477,1,7.107e-07,7.013e-06
regression,0.02394,0.001995,,0.0001869,1,8.519e-05,2.241e-06
shapley,0.008142,0.0008477,0.0001869,,1,0.3726,0.02323
loo,1,1,1,1,,1,1
crh,1.133e-05,7.107e-07,8.519e-05,0.3726,1,,0.04421
entropy,1.211e-08,7.013e-06,2.241e-06,0.02323,1,0.04421,
