,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,1.107e-12,4.622e-07,1.107e-12,6.348e-11,1.107e-12,1.107e-12
accuracy,1.107e-12,,0.02462,0.0003502,5.9e-06,0.0004109,2.259e-07
regression,4.622e-07,0.02462,,0.1615,1,0.3219,0.4946
shapley,1.107e-12,0.0003502,0.1615,,0.0005159,0.1615,0.01972
loo,6.348e-11,5.9e-06,1,0.0005159,,0.001038,0.1033
crh,1.107e-12,0.0004109,0.3219,0.1615,0.001038,,1
entropy,1.107e-12,2.259e-07,0.4946,0.01972,0.1033,1,
