,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,3.417e-10,3.417e-10,3.417e-10,0.0007863,3.417e-10,1.719e-09
accuracy,3.417e-10,,3.417e-10,3.417e-10,3.417e-10,3.417e-10,3.417e-10
regression,3.417e-10,3.417e-10,,3.417e-10,3.417e-10,3.417e-10,3.417e-10
shapley,3.417e-10,3.417e-10,3.417e-10,,3.417e-10,3.417e-10,3.417e-10
loo,0.0007863,3.417e-10,3.417e-10,3.417e-10,,0.01366,1.431e-06
crh,3.417e-10,3.417e-10,3.417e-10,3.417e-10,0.01366,,3.417e-10
entropy,1.719e-09,3.417e-10,3.417e-10,3.417e-10,1.431e-06,3.417e-10,
