,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,0.0009688,0.0009688,4.005e-05,0.0009688,4.005e-05,0.0009688
accuracy,0.0009688,,0.0009688,4.005e-05,4.005e-05,0.0009688,0.0009688
regression,0.0009688,0.0009688,,4.005e-05,4.005e-05,0.0009688,4.005e-05
shapley,4.005e-05,4.005e-05,4.005e-05,,4.005e-05,0.0009688,0.0009688
loo,0.0009688,4.005e-05,4.005e-05,4.005e-05,,4.005e-05,0.0009688
crh,4.005e-05,0.0009688,0.0009688,0.0009688,4.005e-05,,4.005e-05
entropy,0.0009688,0.0009688,4.005e-05,0.0009688,0.0009688,4.005e-05,
