,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,0.001499,0.001499,0.001499,0.001499,0.001499,4.005e-05
accuracy,0.001499,,0.001499,0.001499,0.001499,0.001499,0.001499
regression,0.001499,0.001499,,0.01234,4.005e-05,0.001499,4.005e-05
shapley,0.001499,0.001499,0.01234,,0.001499,4.005e-05,0.001499
loo,0.001499,0.001499,4.005e-05,0.001499,,0.001499,0.001499
crh,0.001499,0.001499,0.001499,4.005e-05,0.001499,,0.001499
entropy,4.005e-05,0.001499,4.005e-05,0.001499,0.001499,0.001499,
