,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,4.005e-05,0.001321,4.005e-05,4.005e-05,0.001321,0.001321
accuracy,4.005e-05,,0.001321,4.005e-05,0.03207,0.001321,0.001321
regression,0.001321,0.001321,,0.06968,0.001321,4.005e-05,0.001321
shapley,4.005e-05,4.005e-05,0.06968,,6.104e-05,0.001321,0.001321
loo,4.005e-05,0.03207,0.001321,6.104e-05,,0.001321,0.09731
crh,0.001321,0.001321,4.005e-05,0.001321,0.001321,,0.001321
entropy,0.001321,0.001321,0.001321,0.001321,0.09731,0.001321,
