,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,1.647e-13,1.647e-13,1.647e-13,1.647e-13,1.072e-12,0.2568
accuracy,1.647e-13,,1.647e-13,1.647e-13,1.647e-13,1.647e-13,1.647e-13
regression,1.647e-13,1.647e-13,,1.647e-13,1.647e-13,1.486e-11,1.647e-13
shapley,1.647e-13,1.647e-13,1.647e-13,,1.647e-13,1.647e-13,1.647e-13
loo,1.647e-13,1.647e-13,1.647e-13,1.647e-13,,1.647e-13,1.647e-13
crh,1.072e-12,1.647e-13,1.486e-11,1.647e-13,1.647e-13,,1.072e-12
entropy,0.2568,1.647e-13,1.647e-13,1.647e-13,1.647e-13,1.072e-12,
