,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,4.005e-05,4.005e-05,0.0009661,4.005e-05,0.0009661,4.005e-05
accuracy,4.005e-05,,0.0009661,4.005e-05,0.0009661,4.005e-05,0.0009661
regression,4.005e-05,0.0009661,,4.005e-05,0.0009661,0.0009661,4.005e-05
shapley,0.0009661,4.005e-05,4.005e-05,,4.005e-05,0.0009661,4.005e-05
loo,4.005e-05,0.0009661,0.0009661,4.005e-05,,0.01891,0.02167
crh,0.0009661,4.005e-05,0.0009661,0.0009661,0.01891,,0.0009661
entropy,4.005e-05,0.0009661,4.005e-05,4.005e-05,0.02167,0.0009661,
