,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,4.005e-05,4.005e-05,4.005e-05,4.005e-05,4.005e-05,4.005e-05
accuracy,4.005e-05,,4.005e-05,4.005e-05,0.0001769,4.005e-05,0.0001769
regression,4.005e-05,4.005e-05,,4.005e-05,4.005e-05,4.005e-05,4.005e-05
shapley,4.005e-05,4.005e-05,4.005e-05,,4.005e-05,4.005e-05,4.005e-05
loo,4.005e-05,0.0001769,4.005e-05,4.005e-05,,4.005e-05,4.005e-05
crh,4.005e-05,4.005e-05,4.005e-05,4.005e-05,4.005e-05,,4.005e-05
entropy,4.005e-05,0.0001769,4.005e-05,4.005e-05,4.005e-05,4.005e-05,
