,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,4.005e-05,0.0009716,0.0009716,0.0009716,0.0009716,4.005e-05
accuracy,4.005e-05,,0.0009716,4.005e-05,0.0009716,0.0009716,4.005e-05
regression,0.0009716,0.0009716,,0.9108,4.005e-05,4.005e-05,0.0009716
shapley,0.0009716,4.005e-05,0.9108,,4.005e-05,0.0009716,4.005e-05
loo,0.0009716,0.0009716,4.005e-05,4.005e-05,,4.005e-05,4.005e-05
crh,0.0009716,0.0009716,4.005e-05,0.0009716,4.005e-05,,0.0009716
entropy,4.005e-05,4.005e-05,0.0009716,4.005e-05,4.005e-05,0.0009716,
