,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,0.1536,4.137e-08,0.1536,0.002418,2.477e-06,3.43e-08
accuracy,0.1536,,2.605e-09,0.2505,0.002418,1.214e-07,5.531e-08
regression,4.137e-08,2.605e-09,,1.254e-09,6.32e-05,1.269e-06,0.008528
shapley,0.1536,0.2505,1.254e-09,,0.002354,2.765e-05,1.984e-07
loo,0.002418,0.002418,6.32e-05,0.002354,,0.0013,0.0007729
crh,2.477e-06,1.214e-07,1.269e-06,2.765e-05,0.0013,,0.0002054
entropy,3.43e-08,5.531e-08,0.008528,1.984e-07,0.0007729,0.0002054,
