,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,3.414e-10,3.414e-10,3.414e-10,3.414e-10,3.414e-10,3.992e-09
accuracy,3.414e-10,,3.414e-10,3.414e-10,1.623e-07,3.414e-10,3.414e-10
regression,3.414e-10,3.414e-10,,0.145,0.09162,3.414e-10,3.414e-10
shapley,3.414e-10,3.414e-10,0.145,,0.03173,3.414e-10,3.414e-10
loo,3.414e-10,1.623e-07,0.09162,0.03173,,1.081e-08,3.414e-10
crh,3.414e-10,3.414e-10,3.414e-10,3.414e-10,1.081e-08,,3.414e-10
entropy,3.992e-09,3.414e-10,3.414e-10,3.414e-10,3.414e-10,3.414e-10,
