,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,4.005e-05,0.0006183,4.005e-05,4.005e-05,4.005e-05,4.005e-05
accuracy,4.005e-05,,0.0006183,4.005e-05,4.005e-05,0.0006183,4.005e-05
regression,0.0006183,0.0006183,,4.005e-05,0.0006183,4.005e-05,4.005e-05
shapley,4.005e-05,4.005e-05,4.005e-05,,4.005e-05,0.0006183,0.0006183
loo,4.005e-05,4.005e-05,0.0006183,4.005e-05,,4.005e-05,4.005e-05
crh,4.005e-05,0.0006183,4.005e-05,0.0006183,4.005e-05,,0.0006183
entropy,4.005e-05,4.005e-05,4.005e-05,0.0006183,4.005e-05,0.0006183,
