,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,4.005e-05,4.005e-05,4.005e-05,0.0007949,4.005e-05,4.005e-05
accuracy,4.005e-05,,0.0007949,0.0007949,0.0007949,4.005e-05,0.0007949
regression,4.005e-05,0.0007949,,4.005e-05,4.005e-05,4.005e-05,0.0007949
shapley,4.005e-05,0.0007949,4.005e-05,,0.0007949,0.0007949,4.005e-05
loo,0.0007949,0.0007949,4.005e-05,0.0007949,,4.005e-05,0.0007949
crh,4.005e-05,4.005e-05,4.005e-05,0.0007949,4.005e-05,,4.005e-05
entropy,4.005e-05,0.0007949,0.0007949,4.005e-05,0.0007949,4.005e-05,
