,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,4.005e-05,0.001147,0.001147,4.005e-05,0.001147,0.001545
accuracy,4.005e-05,,0.001147,4.005e-05,0.002036,0.001147,4.005e-05
regression,0.001147,0.001147,,4.005e-05,0.001147,4.005e-05,0.001147
shapley,0.001147,4.005e-05,4.005e-05,,0.001147,0.001147,4.005e-05
loo,4.005e-05,0.002036,0.001147,0.001147,,4.005e-05,0.001147
crh,0.001147,0.001147,4.005e-05,0.001147,4.005e-05,,0.08712
entropy,0.001545,4.005e-05,0.001147,4.005e-05,0.001147,0.08712,
