,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,0.001323,0.001323,4.005e-05,4.005e-05,0.001323,0.001323
accuracy,0.001323,,4.005e-05,0.001323,0.2872,0.001323,0.06669
regression,0.001323,4.005e-05,,0.001323,4.005e-05,0.001323,4.005e-05
shapley,4.005e-05,0.001323,0.001323,,0.001323,0.001323,0.001323
loo,4.005e-05,0.2872,4.005e-05,0.001323,,6.104e-05,0.06669
crh,0.001323,0.001323,0.001323,0.001323,6.104e-05,,0.001323
entropy,0.001323,0.06669,4.005e-05,0.001323,0.06669,0.001323,
