,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,4.005e-05,0.0006183,4.005e-05,0.0006183,0.0006183,0.0006183
accuracy,4.005e-05,,4.005e-05,0.0006183,4.005e-05,0.0006183,4.005e-05
regression,0.0006183,4.005e-05,,4.005e-05,4.005e-05,4.005e-05,0.0006183
shapley,4.005e-05,0.0006183,4.005e-05,,4.005e-05,4.005e-05,4.005e-05
loo,0.0006183,4.005e-05,4.005e-05,4.005e-05,,4.005e-05,4.005e-05
crh,0.0006183,0.0006183,4.005e-05,4.005e-05,4.005e-05,,4.005e-05
entropy,0.0006183,4.005e-05,0.0006183,4.005e-05,4.005e-05,4.005e-05,
