,unweighted,accuracy,regression,shapley,loo,crh,entropy
unweighted,,3.41e-10,3.41e-10,3.41e-10,1.63e-05,3.41e-10,3.41e-10
accuracy,3.41e-10,,3.41e-10,3.41e-10,4.52e-10,3.41e-10,3.41e-10
regression,3.41e-10,3.41e-10,,3.41e-10,3.41e-10,3.41e-10,3.41e-10
shapley,3.41e-10,3.41e-10,3.41e-10,,3.41e-10,3.41e-10,3.41e-10
loo,1.63e-05,4.52e-10,3.41e-10,3.41e-10,,0.6883,3.41e-10
crh,3.41e-10,3.41e-10,3.41e-10,3.41e-10,0.6883,,3.41e-10
entropy,3.41e-10,3.41e-10,3.41e-10,3.41e-10,3.41e-10,3.41e-10,
